Food_ID,Food_Name,Alias,Category,Meal_Type,Serving_Size,Calories_kcal,Protein_g,Carbs_g,Fat_g,Fiber_g,Sugar_g,Sodium_mg,Veg_NonVeg,Health_Rating,WeightLoss,MuscleGain,WeightGain,HealthyLifestyle
450,Lahsuni Dal,Lahsuni Dal,Dal,"Lunch,Dinner",1 Bowl (220g),205,11.0,25.0,6.0,7.0,2.0,270,Veg,A,Yes,Yes,Moderate,Yes
451,Dal Lasoon Tadka,Dal Lasoon Tadka,Dal,"Lunch,Dinner",1 Bowl (220g),215,11.0,24.0,7.0,7.0,2.0,300,Veg,A,Yes,Yes,Moderate,Yes
452,Dal Hing,Dal Hing,Dal,"Lunch,Dinner",1 Bowl (220g),190,10.0,25.0,5.0,7.0,2.0,230,Veg,A,Yes,Yes,Moderate,Yes
453,Dal Palak Tadka,Dal Palak Tadka,Dal,"Lunch,Dinner",1 Bowl (220g),190,11.0,24.0,5.0,7.0,3.0,250,Veg,A,Yes,Yes,Moderate,Yes
454,Moong Dal Tadka,Moong Dal Tadka,Dal,"Lunch,Dinner",1 Bowl (220g),205,11.0,25.0,6.0,7.0,2.0,260,Veg,A,Yes,Yes,Moderate,Yes
455,Masoor Dal Tadka,Masoor Dal Tadka,Dal,"Lunch,Dinner",1 Bowl (220g),210,12.0,26.0,6.0,7.0,2.0,270,Veg,A,Yes,Yes,Moderate,Yes
456,Toor Dal Tadka,Toor Dal Tadka,Dal,"Lunch,Dinner",1 Bowl (220g),210,11.0,27.0,6.0,7.0,2.0,270,Veg,A,Yes,Yes,Moderate,Yes
457,Dal Panchratan,Dal Panchratan,Dal,"Lunch,Dinner",1 Bowl (220g),220,12.0,28.0,5.0,8.0,2.0,280,Veg,A,Yes,Yes,Moderate,Yes
458,Dal Maharani,Dal Maharani,Dal,"Lunch,Dinner",1 Bowl (220g),295,13.0,27.0,15.0,8.0,3.0,430,Veg,C,Moderate,Yes,Yes,Moderate
459,Gujarati Vaal Dal,Gujarati Vaal Dal,Dal,"Lunch,Dinner",1 Bowl (220g),210,11.0,27.0,5.0,8.0,3.0,280,Veg,A,Yes,Yes,Moderate,Yes
460,Vatana Curry,Vatana Curry,Dal,"Lunch,Dinner",1 Bowl (220g),215,10.0,29.0,5.0,8.0,3.0,290,Veg,A,Yes,Yes,Moderate,Yes
461,Green Vatana Curry,Green Vatana Curry,Dal,"Lunch,Dinner",1 Bowl (220g),205,10.0,27.0,5.0,8.0,3.0,280,Veg,A,Yes,Yes,Moderate,Yes
462,Matar Curry,Matar Curry,Dal,"Lunch,Dinner",1 Bowl (220g),200,9.0,28.0,5.0,7.0,3.0,260,Veg,A,Yes,No,Moderate,Yes
463,Safed Vatana Curry,Safed Vatana Curry,Dal,"Lunch,Dinner",1 Bowl (220g),220,11.0,30.0,5.0,8.0,3.0,300,Veg,A,Yes,Yes,Moderate,Yes
464,Green Moong Curry,Green Moong Curry,Dal,"Lunch,Dinner",1 Bowl (220g),210,12.0,28.0,4.0,8.0,2.0,260,Veg,A,Yes,Yes,Moderate,Yes
465,Sprouted Moong Curry,Sprouted Moong Curry,Dal,"Lunch,Dinner",1 Bowl (220g),195,11.0,24.0,4.0,8.0,2.0,240,Veg,A,Yes,Yes,Moderate,Yes
466,Sprouted Matki,Sprouted Matki,Dal,"Lunch,Dinner",1 Bowl (220g),200,11.0,25.0,4.0,8.0,2.0,250,Veg,A,Yes,Yes,Moderate,Yes
467,Sprouted Chana,Sprouted Chana,Dal,"Lunch,Dinner",1 Bowl (220g),215,12.0,28.0,5.0,9.0,3.0,280,Veg,A,Yes,Yes,Moderate,Yes
468,Sprouted Mixed Beans,Sprouted Mixed Beans,Dal,"Lunch,Dinner",1 Bowl (220g),210,12.0,27.0,4.0,9.0,2.0,270,Veg,A,Yes,Yes,Moderate,Yes
469,Usal,Usal,Dal,"Lunch,Dinner",1 Bowl (220g),205,10.0,27.0,5.0,8.0,2.0,270,Veg,A,Yes,Yes,Moderate,Yes
470,Matki Usal Masala,Matki Usal Masala,Dal,"Lunch,Dinner",1 Bowl (220g),220,11.0,28.0,6.0,8.0,3.0,300,Veg,A,Yes,Yes,Moderate,Yes
471,Moong Usal,Moong Usal,Dal,"Lunch,Dinner",1 Bowl (220g),210,11.0,27.0,5.0,8.0,2.0,270,Veg,A,Yes,Yes,Moderate,Yes
472,Kala Vatana Usal,Kala Vatana Usal,Dal,"Lunch,Dinner",1 Bowl (220g),220,11.0,29.0,5.0,9.0,3.0,290,Veg,A,Yes,Yes,Moderate,Yes
473,Whole Chana Dal,Whole Chana Dal,Dal,"Lunch,Dinner",1 Bowl (220g),220,12.0,29.0,5.0,9.0,3.0,300,Veg,A,Yes,Yes,Moderate,Yes
474,Whole Masoor Curry,Whole Masoor Curry,Dal,"Lunch,Dinner",1 Bowl (220g),205,12.0,28.0,4.0,8.0,2.0,260,Veg,A,Yes,Yes,Moderate,Yes
475,Horse Gram Dal,Horse Gram Dal,Dal,"Lunch,Dinner",1 Bowl (220g),215,12.0,29.0,4.0,9.0,2.0,260,Veg,A,Yes,Yes,Moderate,Yes
476,Kulthi Dal,Kulthi Dal,Dal,"Lunch,Dinner",1 Bowl (220g),210,12.0,28.0,4.0,9.0,2.0,250,Veg,A,Yes,Yes,Moderate,Yes
477,Moth Beans Curry,Moth Beans Curry,Dal,"Lunch,Dinner",1 Bowl (220g),215,11.0,29.0,5.0,9.0,3.0,280,Veg,A,Yes,Yes,Moderate,Yes
478,Moth Dal,Moth Dal,Dal,"Lunch,Dinner",1 Bowl (220g),210,11.0,28.0,5.0,8.0,3.0,270,Veg,A,Yes,Yes,Moderate,Yes
479,Mixed Sprouts Usal,Mixed Sprouts Usal,Dal,"Lunch,Dinner",1 Bowl (220g),210,12.0,27.0,5.0,9.0,2.0,280,Veg,A,Yes,Yes,Moderate,Yes
480,Tomato Dal,Tomato Dal,Dal,"Lunch,Dinner",1 Bowl (220g),195,10.0,25.0,5.0,7.0,3.0,240,Veg,A,Yes,Yes,Moderate,Yes
481,Raw Mango Dal,Raw Mango Dal,Dal,"Lunch,Dinner",1 Bowl (220g),190,10.0,24.0,5.0,7.0,3.0,230,Veg,A,Yes,Moderate,Moderate,Yes
482,Drumstick Dal,Drumstick Dal,Dal,"Lunch,Dinner",1 Bowl (220g),190,10.0,24.0,5.0,7.0,3.0,240,Veg,A,Yes,Moderate,Moderate,Yes
483,Sorakaya Pappu,Sorakaya Pappu,Dal,"Lunch,Dinner",1 Bowl (220g),185,10.0,23.0,4.0,7.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
484,Palakura Pappu,Palakura Pappu,Dal,"Lunch,Dinner",1 Bowl (220g),190,11.0,24.0,4.0,8.0,2.0,230,Veg,A,Yes,Yes,Moderate,Yes
485,Mudda Pappu,Mudda Pappu,Dal,"Lunch,Dinner",1 Bowl (220g),185,10.0,24.0,4.0,7.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
486,Sambar Dal,Sambar Dal,Dal,"Lunch,Dinner",1 Bowl (220g),165,8.0,20.0,4.0,6.0,3.0,320,Veg,A,Yes,No,Moderate,Yes
487,Mango Dal,Mango Dal,Dal,"Lunch,Dinner",1 Bowl (220g),190,10.0,24.0,5.0,7.0,3.0,230,Veg,A,Yes,Moderate,Moderate,Yes
488,Lemon Dal,Lemon Dal,Dal,"Lunch,Dinner",1 Bowl (220g),185,10.0,23.0,4.0,7.0,2.0,220,Veg,A,Yes,Moderate,Moderate,Yes
489,Curry Leaf Dal,Curry Leaf Dal,Dal,"Lunch,Dinner",1 Bowl (220g),188,10.0,24.0,4.0,7.0,2.0,220,Veg,A,Yes,Moderate,Moderate,Yes
490,Spinach Dal,Spinach Dal,Dal,"Lunch,Dinner",1 Bowl (220g),190,11.0,24.0,4.0,8.0,2.0,230,Veg,A,Yes,Yes,Moderate,Yes
491,Bottle Gourd Dal,Bottle Gourd Dal,Dal,"Lunch,Dinner",1 Bowl (220g),180,10.0,22.0,4.0,7.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
492,Pumpkin Dal,Pumpkin Dal,Dal,"Lunch,Dinner",1 Bowl (220g),185,10.0,23.0,4.0,7.0,3.0,220,Veg,A,Yes,Moderate,Moderate,Yes
493,Cabbage Dal,Cabbage Dal,Dal,"Lunch,Dinner",1 Bowl (220g),185,10.0,23.0,4.0,7.0,2.0,220,Veg,A,Yes,Moderate,Moderate,Yes
494,Brinjal Dal,Brinjal Dal,Dal,"Lunch,Dinner",1 Bowl (220g),190,10.0,24.0,5.0,7.0,3.0,230,Veg,A,Yes,Moderate,Moderate,Yes
495,Mixed Vegetable Dal,Mixed Vegetable Dal,Dal,"Lunch,Dinner",1 Bowl (220g),200,11.0,25.0,5.0,8.0,3.0,250,Veg,A,Yes,Yes,Moderate,Yes
496,Plain Rice,Plain Rice,Rice,"Lunch,Dinner",1 Bowl (180g),235,4.0,52.0,0.5,1.0,0.0,5,Veg,A,Yes,No,Moderate,Yes
497,Steamed Rice,Steamed Rice,Rice,"Lunch,Dinner",1 Bowl (180g),235,4.0,52.0,0.5,1.0,0.0,5,Veg,A,Yes,No,Moderate,Yes
498,Boiled Rice,Boiled Rice,Rice,"Lunch,Dinner",1 Bowl (180g),230,4.0,50.0,0.4,1.0,0.0,5,Veg,A,Yes,No,Moderate,Yes
499,Brown Rice,Brown Rice,Rice,"Lunch,Dinner",1 Bowl (180g),215,5.0,45.0,1.8,3.0,0.0,8,Veg,A,Yes,No,Moderate,Yes
500,Red Rice,Red Rice,Rice,"Lunch,Dinner",1 Bowl (180g),220,5.0,46.0,1.6,3.0,0.0,8,Veg,A,Yes,No,Moderate,Yes
501,Jeera Rice,Jeera Rice,Rice,"Lunch,Dinner",1 Bowl (180g),255,5.0,50.0,4.0,2.0,0.0,180,Veg,A,Yes,No,Moderate,Yes
502,Ghee Rice,Ghee Rice,Rice,"Lunch,Dinner",1 Bowl (180g),295,5.0,50.0,8.0,1.0,0.0,220,Veg,B,Moderate,No,Yes,Moderate
503,Lemon Rice,Lemon Rice,Rice,"Lunch,Dinner",1 Bowl (180g),275,5.0,48.0,7.0,2.0,2.0,250,Veg,A,Yes,No,Moderate,Yes
504,Curd Rice,Curd Rice,Rice,"Lunch,Dinner",1 Bowl (220g),245,8.0,36.0,7.0,1.0,4.0,220,Veg,A,Yes,No,Moderate,Yes
505,Coconut Rice,Coconut Rice,Rice,"Lunch,Dinner",1 Bowl (180g),290,4.0,42.0,11.0,2.0,2.0,230,Veg,B,Moderate,No,Moderate,Yes
506,Tamarind Rice,Tamarind Rice,Rice,"Lunch,Dinner",1 Bowl (180g),280,5.0,46.0,8.0,2.0,4.0,290,Veg,B,Moderate,No,Moderate,Yes
507,Tomato Rice,Tomato Rice,Rice,"Lunch,Dinner",1 Bowl (180g),255,5.0,46.0,6.0,2.0,3.0,240,Veg,A,Yes,No,Moderate,Yes
508,Mint Rice,Mint Rice,Rice,"Lunch,Dinner",1 Bowl (180g),250,5.0,46.0,6.0,2.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
509,Coriander Rice,Coriander Rice,Rice,"Lunch,Dinner",1 Bowl (180g),248,5.0,46.0,6.0,2.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
510,Garlic Rice,Garlic Rice,Rice,"Lunch,Dinner",1 Bowl (180g),260,5.0,47.0,6.0,2.0,1.0,240,Veg,A,Yes,No,Moderate,Yes
511,Vegetable Pulao,Vegetable Pulao,Rice,"Lunch,Dinner",1 Bowl (220g),285,6.0,46.0,8.0,3.0,3.0,280,Veg,A,Yes,No,Moderate,Yes
512,Peas Pulao,Peas Pulao,Rice,"Lunch,Dinner",1 Bowl (220g),275,7.0,46.0,6.0,3.0,3.0,240,Veg,A,Yes,No,Moderate,Yes
513,Corn Pulao,Corn Pulao,Rice,"Lunch,Dinner",1 Bowl (220g),285,7.0,48.0,7.0,3.0,4.0,250,Veg,A,Yes,No,Moderate,Yes
514,Paneer Pulao,Paneer Pulao,Rice,"Lunch,Dinner",1 Bowl (220g),340,13.0,42.0,13.0,2.0,3.0,320,Veg,B,Moderate,Yes,Yes,Moderate
515,Soya Pulao,Soya Pulao,Rice,"Lunch,Dinner",1 Bowl (220g),310,16.0,40.0,8.0,4.0,2.0,300,Veg,A,Yes,Yes,Moderate,Yes
516,Mushroom Pulao,Mushroom Pulao,Rice,"Lunch,Dinner",1 Bowl (220g),290,8.0,44.0,8.0,3.0,2.0,260,Veg,A,Yes,No,Moderate,Yes
517,Capsicum Rice,Capsicum Rice,Rice,"Lunch,Dinner",1 Bowl (180g),250,5.0,45.0,6.0,2.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
518,Carrot Rice,Carrot Rice,Rice,"Lunch,Dinner",1 Bowl (180g),248,5.0,45.0,6.0,2.0,3.0,210,Veg,A,Yes,No,Moderate,Yes
519,Beetroot Rice,Beetroot Rice,Rice,"Lunch,Dinner",1 Bowl (180g),250,5.0,45.0,6.0,2.0,3.0,210,Veg,A,Yes,No,Moderate,Yes
520,Spinach Rice,Spinach Rice,Rice,"Lunch,Dinner",1 Bowl (180g),245,6.0,44.0,5.0,3.0,2.0,200,Veg,A,Yes,No,Moderate,Yes
521,Veg Fried Rice,Veg Fried Rice,Rice,"Lunch,Dinner",1 Plate (220g),330,8.0,48.0,11.0,3.0,3.0,520,Veg,C,Moderate,Moderate,Moderate,Moderate
522,Egg Fried Rice,Egg Fried Rice,Rice,"Lunch,Dinner",1 Plate (220g),360,15.0,44.0,13.0,2.0,2.0,560,Egg,C,Moderate,Yes,Yes,Moderate
523,Paneer Fried Rice,Paneer Fried Rice,Rice,"Lunch,Dinner",1 Plate (220g),390,16.0,42.0,16.0,2.0,2.0,600,Veg,C,Moderate,Yes,Yes,Moderate
524,Mushroom Fried Rice,Mushroom Fried Rice,Rice,"Lunch,Dinner",1 Plate (220g),340,10.0,46.0,11.0,3.0,2.0,530,Veg,B,Moderate,Moderate,Moderate,Moderate
525,Schezwan Rice,Schezwan Rice,Rice,"Lunch,Dinner",1 Plate (220g),355,8.0,48.0,12.0,3.0,5.0,760,Veg,D,No,Moderate,Moderate,No
526,Khichdi,Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),220,8.0,36.0,5.0,5.0,2.0,230,Veg,A,Yes,No,Moderate,Yes
527,Moong Dal Khichdi,Moong Dal Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),225,10.0,34.0,5.0,5.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
528,Vegetable Khichdi,Vegetable Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),235,8.0,35.0,6.0,5.0,3.0,240,Veg,A,Yes,No,Moderate,Yes
529,Masala Khichdi,Masala Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),245,8.0,36.0,7.0,5.0,3.0,260,Veg,A,Yes,No,Moderate,Yes
530,Bajra Khichdi,Bajra Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),230,8.0,34.0,6.0,6.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
531,Vegetable Biryani,Vegetable Biryani,Rice,"Lunch,Dinner",1 Plate (250g),390,9.0,52.0,16.0,4.0,4.0,620,Veg,C,Moderate,Moderate,Moderate,Moderate
532,Paneer Biryani,Paneer Biryani,Rice,"Lunch,Dinner",1 Plate (250g),450,16.0,50.0,20.0,3.0,4.0,700,Veg,C,Moderate,Yes,Yes,Moderate
533,Soya Biryani,Soya Biryani,Rice,"Lunch,Dinner",1 Plate (250g),420,20.0,48.0,15.0,5.0,3.0,650,Veg,B,Moderate,Yes,Moderate,Moderate
534,Curd Rice with Tempering,Curd Rice with Tempering,Rice,"Lunch,Dinner",1 Bowl (220g),255,8.0,36.0,8.0,1.0,4.0,250,Veg,A,Yes,No,Moderate,Yes
535,Vegetable Rice,Vegetable Rice,Rice,"Lunch,Dinner",1 Bowl (220g),270,6.0,44.0,7.0,3.0,3.0,260,Veg,A,Yes,No,Moderate,Yes
536,Masala Rice,Masala Rice,Rice,"Lunch,Dinner",1 Bowl (220g),280,6.0,45.0,8.0,3.0,3.0,290,Veg,B,Moderate,No,Moderate,Yes
537,Vangi Bath,Vangi Bath,Rice,"Lunch,Dinner",1 Bowl (220g),290,6.0,44.0,9.0,4.0,3.0,320,Veg,B,Moderate,No,Moderate,Yes
538,Bisibele Bath,Bisibele Bath,Rice,"Lunch,Dinner",1 Bowl (250g),310,10.0,45.0,9.0,5.0,4.0,360,Veg,B,Moderate,Yes,Moderate,Yes
539,Puliyogare,Puliyogare,Rice,"Lunch,Dinner",1 Bowl (220g),285,5.0,46.0,8.0,2.0,4.0,300,Veg,B,Moderate,No,Moderate,Yes
540,Ellu Rice,Ellu Rice,Rice,"Lunch,Dinner",1 Bowl (220g),295,7.0,44.0,10.0,3.0,2.0,280,Veg,B,Moderate,No,Moderate,Yes
541,Peanut Rice,Peanut Rice,Rice,"Lunch,Dinner",1 Bowl (220g),320,9.0,42.0,13.0,3.0,2.0,300,Veg,B,Moderate,Yes,Moderate,Moderate
542,Cashew Rice,Cashew Rice,Rice,"Lunch,Dinner",1 Bowl (220g),340,8.0,42.0,15.0,2.0,2.0,260,Veg,C,Moderate,Moderate,Yes,Moderate
543,Mixed Vegetable Rice,Mixed Vegetable Rice,Rice,"Lunch,Dinner",1 Bowl (220g),275,7.0,44.0,7.0,4.0,3.0,250,Veg,A,Yes,No,Moderate,Yes
544,Plain Millet Khichdi,Plain Millet Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),215,8.0,34.0,5.0,6.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
545,Foxtail Millet Khichdi,Foxtail Millet Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),220,8.0,35.0,5.0,6.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
546,Masoor Khichdi,Masoor Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),225,10.0,35.0,5.0,6.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
547,Toor Dal Khichdi,Toor Dal Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),230,10.0,36.0,5.0,6.0,2.0,230,Veg,A,Yes,Yes,Moderate,Yes
548,Mixed Dal Khichdi,Mixed Dal Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),240,11.0,35.0,6.0,6.0,2.0,240,Veg,A,Yes,Yes,Moderate,Yes
549,Palak Khichdi,Palak Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),215,9.0,34.0,5.0,6.0,2.0,210,Veg,A,Yes,Yes,Moderate,Yes
550,Methi Khichdi,Methi Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),220,9.0,35.0,5.0,6.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
551,Lauki Khichdi,Lauki Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),210,8.0,33.0,5.0,6.0,2.0,200,Veg,A,Yes,No,Moderate,Yes
552,Vegetable Oats Khichdi,Vegetable Oats Khichdi,Rice,"Breakfast,Lunch,Dinner",1 Bowl (220g),205,8.0,31.0,5.0,6.0,2.0,190,Veg,A,Yes,Yes,Moderate,Yes
553,Oats Khichdi,Oats Khichdi,Rice,"Breakfast,Lunch,Dinner",1 Bowl (220g),195,8.0,30.0,5.0,6.0,2.0,180,Veg,A,Yes,Yes,Moderate,Yes
554,Broken Wheat Khichdi,Broken Wheat Khichdi,Rice,"Breakfast,Lunch,Dinner",1 Bowl (220g),215,8.0,36.0,4.0,6.0,2.0,200,Veg,A,Yes,No,Moderate,Yes
555,Daliya Khichdi,Daliya Khichdi,Rice,"Breakfast,Lunch,Dinner",1 Bowl (220g),220,8.0,37.0,4.0,6.0,2.0,210,Veg,A,Yes,No,Moderate,Yes
556,Barnyard Millet Khichdi,Barnyard Millet Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),210,8.0,34.0,4.0,6.0,2.0,190,Veg,A,Yes,No,Moderate,Yes
557,Little Millet Khichdi,Little Millet Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),215,8.0,35.0,4.0,6.0,2.0,190,Veg,A,Yes,No,Moderate,Yes
558,Kodo Millet Khichdi,Kodo Millet Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),215,8.0,35.0,4.0,6.0,2.0,190,Veg,A,Yes,No,Moderate,Yes
559,Jowar Khichdi,Jowar Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),220,8.0,36.0,4.0,6.0,2.0,200,Veg,A,Yes,No,Moderate,Yes
560,Ragi Khichdi,Ragi Khichdi,Rice,"Breakfast,Lunch",1 Bowl (220g),215,8.0,35.0,4.0,6.0,2.0,190,Veg,A,Yes,No,Moderate,Yes
561,Vegetable Millet Khichdi,Vegetable Millet Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),225,8.0,35.0,5.0,6.0,2.0,210,Veg,A,Yes,No,Moderate,Yes
562,Soya Khichdi,Soya Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),255,16.0,30.0,7.0,6.0,2.0,230,Veg,A,Yes,Yes,Moderate,Yes
563,Paneer Khichdi,Paneer Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),295,15.0,31.0,11.0,4.0,2.0,260,Veg,B,Moderate,Yes,Yes,Moderate
564,Corn Khichdi,Corn Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),235,8.0,37.0,6.0,5.0,3.0,220,Veg,A,Yes,No,Moderate,Yes
565,Peas Khichdi,Peas Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),225,9.0,35.0,5.0,6.0,3.0,210,Veg,A,Yes,No,Moderate,Yes
566,Carrot Khichdi,Carrot Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),220,8.0,35.0,5.0,6.0,3.0,200,Veg,A,Yes,No,Moderate,Yes
567,Beetroot Khichdi,Beetroot Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),225,8.0,35.0,5.0,6.0,3.0,200,Veg,A,Yes,No,Moderate,Yes
568,Capsicum Khichdi,Capsicum Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),225,8.0,35.0,5.0,6.0,2.0,210,Veg,A,Yes,No,Moderate,Yes
569,Tomato Khichdi,Tomato Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),220,8.0,35.0,5.0,6.0,3.0,210,Veg,A,Yes,No,Moderate,Yes
570,Spinach Rice Khichdi,Spinach Rice Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),220,9.0,34.0,5.0,6.0,2.0,200,Veg,A,Yes,Yes,Moderate,Yes
572,Farali Sabudana Khichdi,Farali Sabudana Khichdi,Rice,"Breakfast,Snack",1 Bowl (220g),345,5.0,57.0,11.0,2.0,5.0,260,Veg,C,Moderate,No,Moderate,Moderate
573,Sama Rice Khichdi,Sama Rice Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),225,6.0,40.0,5.0,3.0,2.0,190,Veg,A,Yes,No,Moderate,Yes
574,Vrat Khichdi,Vrat Khichdi,Rice,"Breakfast,Lunch",1 Bowl (220g),230,6.0,41.0,5.0,3.0,2.0,190,Veg,A,Yes,No,Moderate,Yes
575,Ven Pongal,Ven Pongal,Rice,"Breakfast,Lunch",1 Bowl (220g),290,9.0,39.0,10.0,3.0,2.0,320,Veg,B,Moderate,No,Moderate,Yes
576,Khara Pongal,Khara Pongal,Rice,"Breakfast,Lunch",1 Bowl (220g),295,9.0,39.0,11.0,3.0,2.0,330,Veg,B,Moderate,No,Moderate,Yes
577,Sweet Pongal,Sweet Pongal,Rice,"Breakfast,Dessert",1 Bowl (220g),360,8.0,56.0,12.0,2.0,18.0,220,Veg,D,No,Moderate,Moderate,No
578,Curd Millet Rice,Curd Millet Rice,Rice,"Lunch,Dinner",1 Bowl (220g),235,8.0,34.0,7.0,3.0,4.0,220,Veg,A,Yes,No,Moderate,Yes
579,Curd Brown Rice,Curd Brown Rice,Rice,"Lunch,Dinner",1 Bowl (220g),225,8.0,32.0,7.0,3.0,4.0,210,Veg,A,Yes,No,Moderate,Yes
582,Vegetable Broken Wheat,Vegetable Broken Wheat,Rice,"Breakfast,Lunch",1 Bowl (220g),220,8.0,36.0,4.0,6.0,2.0,210,Veg,A,Yes,No,Moderate,Yes
583,Rice Pongal,Rice Pongal,Rice,"Breakfast,Lunch",1 Bowl (220g),285,8.0,40.0,9.0,3.0,2.0,310,Veg,B,Moderate,No,Moderate,Yes
584,Vegetable Rice Upma,Vegetable Rice Upma,Rice,Breakfast,1 Bowl (220g),235,7.0,37.0,6.0,4.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
585,Curd Poha Rice,Curd Poha Rice,Rice,Breakfast,1 Bowl (220g),220,7.0,34.0,6.0,2.0,3.0,210,Veg,A,Yes,No,Moderate,Yes
586,Moong Rice,Moong Rice,Rice,"Lunch,Dinner",1 Bowl (220g),230,10.0,35.0,5.0,6.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
587,Dal Rice,Dal Rice,Rice,"Lunch,Dinner",1 Bowl (250g),295,12.0,48.0,5.0,7.0,2.0,240,Veg,A,Yes,Yes,Moderate,Yes
588,Ghee Dal Rice,Ghee Dal Rice,Rice,"Lunch,Dinner",1 Bowl (250g),340,12.0,48.0,10.0,7.0,2.0,270,Veg,B,Moderate,Yes,Moderate,Moderate
589,Curd Rice with Pomegranate,Curd Rice with Pomegranate,Rice,"Lunch,Dinner",1 Bowl (220g),255,8.0,36.0,7.0,2.0,5.0,220,Veg,A,Yes,No,Moderate,Yes
590,Vegetable Brown Rice,Vegetable Brown Rice,Rice,"Lunch,Dinner",1 Bowl (220g),245,7.0,40.0,6.0,4.0,2.0,210,Veg,A,Yes,No,Moderate,Yes
591,Vegetable Red Rice,Vegetable Red Rice,Rice,"Lunch,Dinner",1 Bowl (220g),250,7.0,41.0,6.0,4.0,2.0,210,Veg,A,Yes,No,Moderate,Yes
592,Lemon Brown Rice,Lemon Brown Rice,Rice,"Lunch,Dinner",1 Bowl (220g),240,6.0,39.0,6.0,4.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
593,Tomato Brown Rice,Tomato Brown Rice,Rice,"Lunch,Dinner",1 Bowl (220g),245,6.0,40.0,6.0,4.0,2.0,220,Veg,A,Yes,No,Moderate,Yes
594,Mixed Grain Khichdi,Mixed Grain Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),235,9.0,35.0,5.0,7.0,2.0,220,Veg,A,Yes,Yes,Moderate,Yes
595,Protein Khichdi,Protein Khichdi,Rice,"Lunch,Dinner",1 Bowl (220g),275,18.0,32.0,8.0,7.0,2.0,240,Veg,A,Yes,Yes,Yes,Yes
596,Roti,Roti,Bread,"Lunch,Dinner",1 Medium (35g),105,3.2,21.0,0.5,3.0,0.4,120,Veg,A,Yes,No,Moderate,Yes
597,Chapati,Chapati,Bread,"Lunch,Dinner",1 Medium (35g),105,3.2,21.0,0.5,3.0,0.4,120,Veg,A,Yes,No,Moderate,Yes
598,Phulka,Phulka,Bread,"Lunch,Dinner",1 Medium (32g),90,3.0,19.0,0.4,3.0,0.3,90,Veg,A,Yes,No,Moderate,Yes
599,Whole Wheat Roti,Whole Wheat Roti,Bread,"Lunch,Dinner",1 Medium (35g),102,3.5,20.0,0.6,3.5,0.5,110,Veg,A,Yes,No,Moderate,Yes
600,Atta Roti,Atta Roti,Bread,"Lunch,Dinner",1 Medium (35g),102,3.5,20.0,0.6,3.5,0.5,110,Veg,A,Yes,No,Moderate,Yes
601,Tandoori Roti,Tandoori Roti,Bread,"Lunch,Dinner",1 Medium (50g),150,5.0,30.0,1.5,4.0,0.8,220,Veg,B,Moderate,No,Moderate,Yes
